Nimbus Health,http://joinnimbus.com,Combining technological and medical innovation to redefine the standard of care in pulmonary medicine,seed stage,health,,2022,SEED,4800000,USD,19200000-28800000,2022,10,8VC;Four Acres Venture Capital,1,TRUE,,,venture_capital
Cian,http://cian.app,,seed stage,,,2022,EARLY VC,0,USD,,2022,9,4ward,1,TRUE,,,venture_capital
Wooorld,http://wooorld.io,,,media,,,EARLY VC,0,USD,,2022,9,Corner3 VC,1,TRUE,,,venture_capital
Uplevel Communications Inc. (Uplevel),https://uplevelcommunications.io,Uplevel connects companies with vetted freelancers & small agencies to fill marketing & communications gaps,,,,,,0,USD,,2022,9,Google for Startups Accelerator,1,TRUE,,,accelerator
Regline Outdoors,https://regline.com,A new home for hunting regulations С One app for every hunting law and regulation,seed stage,legal,,2022,SEED,100000,USD,400000-600000,2022,9,,1,TRUE,,,n/a
Overwatch,https://www.overwatchdata.io/,Overwatch is a SaaS tool that helps enterprises monitor data streams for real world events that impact their businesses,seed stage,enterprise software,,2022,,0,USD,,2022,8,Y Combinator;Refashiond;Exponent Founders Capital,2,TRUE,,,n/a
socialpreneur lab,http://socialpreneurlab.org,Empowering the dreams of youth with opportunities to become entrepreneurs,seed stage,kids,,2011,SEED,0,USD,,2022,8,Techstars;Techstars Boston;Techstars Stockholm;Techstars Paris;Techstars Berlin Accelerator,1,TRUE,,,n/a
Slater Infrastructure Group,http://slaterinfrastructuregroup.com,,early growth stage,,,1997,,0,USD,,2022,8,,1,FALSE,,,n/a
Lord's,http://lordsboards.com,Creating high quality keyboards and accessories,seed stage,consumer electronics,,2022,SEED,25000,USD,100000-150000,2022,8,,1,TRUE,,,n/a
Toolpath,http://toolpath.com,Accelerates innovation by making it easier to create CNC machined parts С from prototyping to mass production,seed stage,engineering and manufacturing equipment,,2021,EARLY VC,6040000,USD,24160000-36240000,2022,8,BLH Venture Partners;Tech Square Ventures,1,TRUE,24160000-36240000,aug/2022,n/a
Battle Associates,http://battleassociates.com,,late growth stage,,,1977,SEED,4950000,USD,19800000-29700000,2022,7,,1,TRUE,,,n/a
Kabila,https://www.joinkabila.com/,,seed stage,jobs recruitment,,2022,SEED,120000,USD,480000-720000,2022,7,Techstars;Techstars Boston;Techstars Paris;Techstars Stockholm;Techstars Berlin Accelerator,1,TRUE,,,n/a
Altera Investments,http://alteraprivate.com,An alternative investment platform focused on the lower middle market,early growth stage,fintech,wealth management,2017,EARLY VC,3500000,USD,14000000-21000000,2022,7,,3,TRUE,,,n/a
Medsembly,http://medsembly.com,Medsembly helps healthcare students and professionals unlock their career potential with personalized support and guidance,seed stage,health;jobs recruitment,,2018,,0,USD,,2022,7,Techstars;Techstars Berlin Accelerator,1,TRUE,,,accelerator
Hatched Dating,http://hatchyourmatch.com,Smart Mobile Messaging,seed stage,dating,,2021,SEED,0,USD,,2022,7,,1,TRUE,,,n/a
Palmly,https://www.getpalmly.com/,Palmly is the innovative platform connecting individuals with tailored church communities that fit their unique needs and preferences,seed stage,,,2018,,0,USD,,2022,7,Techstars;Techstars Boston;Techstars Berlin Accelerator,1,TRUE,,,accelerator
Varkn,http://varkn.com,"Airport Valet Hailing Mobile App | Valet as a Service platform for Travel, Hospitality & Retail Industry",seed stage,travel,,2022,,0,USD,,2022,7,Techstars;Techstars Berlin Accelerator,1,TRUE,,,accelerator
My Panda,http://mypandaapp.com,ТThe Personal Assistant Next Door AppУ helps busy people get their to-do lists DONE by connecting them to assistants from within their hyper-local community,early growth stage,home living,,2019,,0,USD,,2022,7,Techstars;Techstars Berlin Accelerator,1,TRUE,,,accelerator
Aetos Imaging,https://aetosimaging.com,Transforming 3D Scans and Virtual Tours from Information to Interaction,early growth stage,real estate,,2020,SEED,1000000,USD,4000000-6000000,2022,7,Atlanta Seed Company;Valor Ventures;Plug and Play;Plug & Play Topeka,3,TRUE,6000000-9000000,jan/2023,venture_capital
Dovetail,https://specdovetail.com,Simplifies the spec process so people can spend more time doing what they love,seed stage,home living,,2021,SEED,700000,USD,2800000-4200000,2022,7,Lake County Technologies,1,TRUE,2800000-4200000,jul/2022,corporate
Datatorch,http://datatorch.io,Data annotation platform for building production AI systems,seed stage,enterprise software,,2020,SEED,250000,USD,1000000-1500000,2022,6,Newchip,1,TRUE,,,accelerator
Produce'd,http://producedforall.com,,late growth stage,food,,2018,ANGEL,300000,USD,1200000-1800000,2022,6,,1,TRUE,,,n/a
Kicky,http://kicky.com,Kicky gives patrons access to rent original art from local artists and become part of a distributed art gallery in their city,seed stage,,,2022,SEED,100000,USD,400000-600000,2022,6,11 Tribes Ventures;Crescent Ridge,1,TRUE,400000-600000,jun/2022,n/a
"Anchored Lens Productions, LLC",http://anchoredlensproductions.com,,seed stage,,,2018,SEED,96000,USD,384000-576000,2022,6,,1,TRUE,,,n/a
KOR Financial,http://korfinancial.com,Modern Trade Repositories Born in the Cloud,early growth stage,enterprise software,,2021,SERIES A,0,USD,,2022,6,Mosaik Partners,1,TRUE,,,venture_capital
Vidaa,http://vidaa.com,A technology company that builds and maintains a Smart TV platform with global and local content,late growth stage,media,,2019,LATE VC,25000000,USD,100000000-150000000,2022,6,Tremor International,1,TRUE,100000000-150000000,jun/2022,corporate
WAP Capital,http://wapcap.co,A provider of financial investment services,seed stage,fintech,wealth management,2022,SEED,6000000,USD,24000000-36000000,2022,6,,1,TRUE,24000000-36000000,jun/2022,n/a
Keyspace Studio,http://keyspace.studio,Empowers companies to enter the Web3 space and provides strategic guidance to brands moving fast into the world of NFTs and the Metaverse,seed stage,enterprise software,,2022,SEED,1500000,USD,6000000-9000000,2022,6,,1,TRUE,,,n/a
Parable,http://thinkparable.com,,seed stage,,,2021,EARLY VC,2650000,USD,10600000-15900000,2022,5,SKU'dventures;M13;Service Provider Capital;Break Trail Ventures,2,TRUE,,,venture_capital
Destined AI,https://destined.ai,An AI first platform: combating biases in AI through good data,seed stage,,,2021,SEED,6000,USD,24000-36000,2022,5,,2,TRUE,24000-36000,may/2022,n/a
Switch,http://myswitchapp.com,"Designs, builds and operates the highest-rated data center ecosystems in the world",seed stage,media,,2021,SEED,50000,USD,200000-300000,2022,5,,1,TRUE,200000-300000,may/2022,n/a
Theia Dating,https://www.theiadating.org/,"Matchmaking platform that creates meaningful, new connections in communities by leveraging social graphs",seed stage,media,,2021,SEED,120000,USD,480000-720000,2022,5,Techstars;Techstars Boston;Techstars Stockholm;Techstars Paris;Techstars Dubai;Techstars Berlin Accelerator,1,TRUE,,,accelerator
Dark POS,http://darkpos.com,"Helping dry cleaners be more efficient, cost-effective, and productive with our cloud-based, customizable software",early growth stage,service provider,,2016,,0,USD,,2022,5,Aurelia Ventures,1,TRUE,,,investment fund
Digital Opportunities,https://digopp.group,Building the technologies and strategies needed to effectively manage on-chain funds,seed stage,,,2021,ANGEL,2500000,USD,10000000-15000000,2022,5,Haralabos Voulgaris,1,TRUE,10000000-15000000,may/2022,angel
Versalytix,https://www.versalytix.com/,"Nalytics consulting, talent recruitment, and end-to-end solutions for transformative insights",seed stage,enterprise software,,2021,SEED,250000,USD,1000000-1500000,2022,4,Newchip,1,TRUE,,,accelerator
Arcum,https://www.arcum.ai/,,seed stage,,,2020,SEED,100000,USD,400000-600000,2022,4,,1,TRUE,,,n/a
Blooksy,https://blooksy.com/,Blooksy: The Easiest Way to Write Your Book,seed stage,,,,EARLY VC,100000,USD,400000-600000,2022,4,Panoramic Ventures;Google for Startups Accelerator;BIP Ventures,2,TRUE,400000-600000,apr/2022,accelerator
Docsnap,http://docsnap.com,"Allows patients to collect, store, and share their health information, so they can manage their healthcare online similar to how they might manage their finances through online banking",early growth stage,health,health platform,2012,SEED,230000,USD,920000-1380000,2022,4,,1,TRUE,920000-1380000,apr/2022,n/a
Truve,http://truve.io,AI-powered analytics platform for the law firms of the future,early growth stage,legal;enterprise software,,2022,SEED,0,USD,,2022,4,,1,TRUE,,,n/a
Local advisor,http://localadvisor.travel,"Personalized city discovery plan in less than 5 minutes matching preferences, travel style, and budget with the hundreds of options available in a city",seed stage,travel,,2022,SEED,75000,USD,300000-450000,2022,4,,1,TRUE,,,n/a
Ennova Health,http://ennovasupply.com,A digital procurement marketplace for provider-based organizations to supply their practice,seed stage,fintech,,2021,SEED,1000000,USD,4000000-6000000,2022,4,,1,TRUE,4000000-6000000,apr/2022,n/a
progrobio.com,http://progrobio.com,"Harnessing The Power Of Microbial Science For A Greener, Safer World",seed stage,food,,2021,SEED,7000000,USD,28000000-42000000,2022,3,DT Unicorn Fund,2,TRUE,,,n/a
LZRD,http://lzrdtech.com,,seed stage,sports,,2019,EARLY VC,150000,USD,600000-900000,2022,3,,1,TRUE,,,n/a
Kudzu Vines,https://www.kudzusoftware.com/,A single platform for managing the full life-cycle of your company's business forms,seed stage,enterprise software,,2018,SEED,250000,USD,1000000-1500000,2022,3,,1,TRUE,1000000-1500000,mar/2022,n/a
Quinn Cobbledger,http://qclfocus.com,"Solving diversity, equity and inclusion problems with app data",seed stage,enterprise software,,2020,SEED,0,USD,,2022,3,,2,TRUE,,,n/a
PharmChain,https://pharmchain.org/,"Pharmaceutical supply chain decision support software to help hospitals reduce their pharmaceutical cost of goods, maximize their pharmaceutical revenue, optimize their pharmaceutical contracts, and mitigate shortages",seed stage,health,health platform,2020,,0,USD,,2022,3,LifeX,1,FALSE,,,accelerator
Docufree,http://docufree.com,Docufree Document Scanning Services & Cloud Document Management Systems - Docufree Document Scanning Services & Cloud Document Management Systems,late growth stage,enterprise software,,1999,GROWTH EQUITY VC,0,USD,,2022,3,McCarthy Capital,1,TRUE,,,private_equity
Rocketansky,http://rocketansky.com,,seed stage,,,2020,SEED,0,USD,,2022,2,,1,TRUE,,,n/a
Stockianas Inc .,http://stockianassocial.club,,seed stage,,,,SEED,0,USD,,2022,2,,1,TRUE,,,n/a
Lvrn (Love Renaissance),http://lvrn.com,"A record label and creative agency specializing in talent management, creative direction, and strategic marketing",early growth stage,media;marketing,,2012,,0,USD,,2022,2,MUSIC,2,TRUE,100000000,feb/2023,n/a
MedTech Exchange,http://medtechexchange.com,,seed stage,health;enterprise software,,2012,EARLY VC,4500000,USD,18000000-27000000,2022,2,,1,TRUE,,,n/a
IoTFlows,http://iotflows.com,AI-Powered Machine Performance Monitoring,seed stage,enterprise software,,2019,SEED,700000,USD,2800000-4200000,2022,2,Y Combinator,1,TRUE,,,accelerator
Sah Global,http://sahglobal.com,Transforming the developing world with sustainable and humanitarian projects,seed stage,health,,2005,,0,USD,,2022,1,Bristol City Funds,1,TRUE,,,venture_capital
CORL Technologies,http://corltech.com,,late growth stage,security,public safety,2012,GROWTH EQUITY VC,0,USD,,2022,1,Primus Capital Partners,1,TRUE,,,"private_equity,venture_capital"
LEAP Mobility,http://leapmobility.io,,,,,,EARLY VC,0,USD,,2022,1,EFO Ventures,1,TRUE,,,venture_capital
SmartStall,http://smartstallus.com,,seed stage,telecom,,2021,ANGEL,60000,USD,240000-360000,2022,1,,2,TRUE,,,n/a
Boomerang(Business/Productivity Software),http://boomreturns.io,,seed stage,transportation,,2021,SEED,1180000,USD,4720000-7080000,2022,1,,1,TRUE,,,n/a
Partners,http://wearepartners.org,,,fintech,,,SEED,0,USD,,2022,1,Praxis,1,TRUE,,,corporate
Stratos,https://stratos.community/,The Exclusive Social Platform Connecting ERG Group Members from Top Technology Companies Across the Country,early growth stage,media,,2021,SEED,120000,USD,480000-720000,2022,1,Techstars;Techstars Paris;Techstars Boston;Techstars Stockholm;Techstars Berlin,1,TRUE,,,n/a
adkaddy,http://adkaddy.com,"Automatically organizes brand emails, first by brand and then by marketing, shipping, & orders",seed stage,marketing;enterprise software,ecommerce solutions,2018,SEED,1300000,USD,5200000-7800000,2022,1,,1,TRUE,,,n/a
Traq,http://traq.ai,"Our AI-driven sales intelligence platform reveals the patterns, opportunities, and risks that other conversation intelligence platforms donХt see",seed stage,enterprise software,,2020,SEED,170000,USD,680000-1020000,2022,1,TB Innovation Center,2,TRUE,680000-1020000,jan/2022,n/a
CannaGo,http://trycannago.com,Creating websites using the react programming language,seed stage,marketing,,2019,SEED,100000,USD,400000-600000,2022,1,,2,TRUE,,,n/a
7 Mindsets,https://7mindsets.com,International organization that builds capacity in local leaders to support the positive development of youth for the purposes of enhancing democratic participation and academic achievement,late growth stage,education,education providers;education management,2008,GROWTH EQUITY VC,0,USD,,2022,1,Gauge Capital,1,TRUE,,,private_equity
SKU-It,http://sku-it.com/,"SKU-It automates invoice processing, slashes manual entry hours, and boosts profitability with seamless POS integration",seed stage,fintech,payments,2018,SEED,148000,USD,592000-888000,2022,1,Flashpoint,1,TRUE,,,n/a
East West Manufacturing,https://www.ewmfg.com/,"An integrated design, manufacturing, and distribution services partner for original equipment manufacturers and distributors throughout North America and Europe",late growth stage,semiconductors,,2001,LATE VC,76900000,USD,307600000-461400000,2022,1,,1,TRUE,307600000-461400000,jan/2022,n/a
